brand,series,collection,productName,subTitle,productId,imageUrl
Givenchy/纪梵希,Antigona,,黑色 牛皮 女神包 51 BK507NK0ZZ-001,纯色|牛皮,217683,https://sr.aihuishou.com/image/4380440298439463178.png
Givenchy/纪梵希,Antigona,,灰色 牛皮 女神包 29 BB50J0B00D-057,车缝线|牛皮,217684,https://sr.aihuishou.com/image/2672829418606475755.png
Bottega Veneta/葆蝶家,Padded Cassette,,黑色 皮革 单肩包 26 591970VCQR18425,格纹|皮革,212737,https://sr.aihuishou.com/image/4037416672662965520.png
Bottega Veneta/葆蝶家,Padded Cassette,,浅褐色 羊皮 单肩包 25 591970VCQR19776,羊皮,213279,https://sr.aihuishou.com/image/6648973117223823545.png
Bottega Veneta/葆蝶家,Padded Cassette,,绿色 羊皮 斜挎包 18 591970VCQR13815,编织|羊皮,214420,https://sr.aihuishou.com/image/8629514484243803721.png
Bottega Veneta/葆蝶家,Padded Cassette,,焦糖棕色 羊皮 斜挎包 23 578004VMAY19830,编织|羊皮,214428,https://sr.aihuishou.com/image/586193383633521502.png
Bottega Veneta/葆蝶家,Padded Cassette,,焦糖色 羊皮 斜挎包 26 591970VCQR19850,编织|羊皮,212739,https://sr.aihuishou.com/image/857921190078580420.png
Bottega Veneta/葆蝶家,Padded Cassette,,黑色 牛皮 手机包 18 729298VBWD38803,编织|牛皮,214413,https://sr.aihuishou.com/image/9171629892464637858.png
Bottega Veneta/葆蝶家,Padded Cassette,,亮黄色 羊皮 单肩包 18 591970VCQR12675,纯色|羊皮,212904,https://sr.aihuishou.com/image/7787701336269867412.png
Bottega Veneta/葆蝶家,Padded Cassette,,闪耀蓝 羊皮 单肩包 26 591970VCQR14634,拼接|羊皮,214411,https://sr.aihuishou.com/image/6283307229024647233.png
Bottega Veneta/葆蝶家,Padded Cassette,,墨黑色 羊皮 卡包 7.6 649602VBWD23244,羊皮,213239,https://sr.aihuishou.com/image/3497118868120908447.png
Bottega Veneta/葆蝶家,Padded Cassette,,鹦鹉绿色 羊皮 手提包 26 591970VCQR13724,编织|羊皮,214412,https://sr.aihuishou.com/image/174409113097112333.png
Bottega Veneta/葆蝶家,Padded Cassette,,紫色 羊皮 单肩包 26 591970VCQR15562,编织|羊皮,212767,https://sr.aihuishou.com/image/172644404099438545.png
Bottega Veneta/葆蝶家,Padded Cassette,,紫色 羊皮 手提包 16.5 709341VMAY14214,编织|羊皮,214417,https://sr.aihuishou.com/image/177682098530257260.png
Bottega Veneta/葆蝶家,Padded Cassette,,橙色 羊皮 斜挎包 19 717506VCQR16583,编织|羊皮,212936,https://sr.aihuishou.com/image/1205277724281576961.png
Bottega Veneta/葆蝶家,Padded Cassette,,杏仁色 羊皮 单肩包 26 591970VCQR12700,编织|羊皮,212907,https://sr.aihuishou.com/image/804117461403023787.png
Bottega Veneta/葆蝶家,Padded Cassette,,深紫色 羊皮 单肩包 26 591970V13Y15023,羊皮,212906,https://sr.aihuishou.com/image/862383604763548038.png
Bottega Veneta/葆蝶家,Padded Cassette,,深绿色 牛皮 单肩包 28 731165VCQ713009,编织|牛皮,214430,https://sr.aihuishou.com/image/5882006984086945306.png
Bottega Veneta/葆蝶家,Padded Cassette,,鼠尾草绿 羊皮 斜挎包 23 578004VMAY13403,编织|羊皮,214429,https://sr.aihuishou.com/image/7679699975517379251.png
Bottega Veneta/葆蝶家,Padded Cassette,,绿色 羊皮 斜挎包 19 717506VCQR13724,羊皮,212935,https://sr.aihuishou.com/image/3214595606786016410.png
Bottega Veneta/葆蝶家,Padded Cassette,,米色 牛皮 单肩包 23 578004V1EP39776,牛皮,213199,https://sr.aihuishou.com/image/3395834239527301026.png
Bottega Veneta/葆蝶家,Padded Cassette,,燕麦色 羊皮 斜挎包 12 666688VMAY19776,编织|羊皮,214410,https://sr.aihuishou.com/image/8093143026232172931.png
Givenchy/纪梵希,Antigona,,黑色 牛皮 女神包 22 BB50NVB1A4-001,车缝线|牛皮,217686,https://sr.aihuishou.com/image/6602729641666781553.png
Givenchy/纪梵希,Antigona,,南瓜橙色 牛皮 女神包 33 BB50MZB1A4-802,车缝线|牛皮,217688,https://sr.aihuishou.com/image/6735489786546140464.png
Givenchy/纪梵希,Antigona,,黑色 牛皮 女神包 22 BB50H1B00D-001,车缝线|牛皮,217697,https://sr.aihuishou.com/image/984685538445298224.png
Givenchy/纪梵希,Antigona,,天蓝色 皮革 女神包 22 BB50J0B14T-450,皮革,217698,https://sr.aihuishou.com/image/8848748108476044881.png
Givenchy/纪梵希,Antigona,,象牙白 牛皮 女神包 22 BB50NVB1A4-105,车缝线|牛皮,217699,https://sr.aihuishou.com/image/9006335249961461709.png
Givenchy/纪梵希,Antigona,,黑色 羊皮 女神包 23 BB05114012-001,纯色|羊皮,217701,https://sr.aihuishou.com/image/6231786406582838115.png
Givenchy/纪梵希,Antigona,,黑色 牛皮 女神包 19 BBU01-UB00D-001,车缝线|牛皮,217711,https://sr.aihuishou.com/image/2109121551146958801.png
Givenchy/纪梵希,Antigona,,象牙白 牛皮 女神包 22 BB50J0B16S-105,车缝线|牛皮,217712,https://sr.aihuishou.com/image/5977968944774253143.png
Givenchy/纪梵希,Antigona,,淡紫色 牛皮 女神包 22 BB50NVB1GR-541,车缝线|牛皮,217714,https://sr.aihuishou.com/image/4236278745085819052.png
Givenchy/纪梵希,Antigona,,象牙白 牛皮 女神包 33 BB50MZB1FF-105,字母|牛皮,217715,https://sr.aihuishou.com/image/7876226102938126793.png
Givenchy/纪梵希,Antigona,,Givenchy Antigona 其他款式,,223007,https://sr.aihuishou.com/image/4755105144539199452.png
Givenchy/纪梵希,Cut-Out,,黑色 牛皮 羊角包 27 BB50GTB00D-001,链条|牛皮,198396,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/3017388916632850345.png
Givenchy/纪梵希,Cut-Out,,黑色 牛皮 羊角包 20 BB50HNB00D-001,纯色|牛皮,217702,https://sr.aihuishou.com/image/3098204802195653754.png
Givenchy/纪梵希,Cut-Out,,杏色 牛皮 羊角包 20 BB50HNB14Y-277,纯色|牛皮,217685,https://sr.aihuishou.com/image/5711243491601091297.png
Givenchy/纪梵希,Cut-Out,,黑色 帆布 羊角包 27 BB50G-TB18Z-001,印花|帆布,217673,https://sr.aihuishou.com/image/2926148428414991710.png
Givenchy/纪梵希,Cut-Out,,黑色 棉 羊角包 20 BB50HNB18Z-001,链条|棉,217716,https://sr.aihuishou.com/image/4506994428532124767.png
Givenchy/纪梵希,Cut-Out,,Givenchy Cut-Out 其他款式,,221972,https://sr.aihuishou.com/image/8368303039209356973.png
Givenchy/纪梵希,G Tote,,自然色 拉菲草 G托特 44 BB50ZVB1SQ-101,字母|拉菲草,217718,https://sr.aihuishou.com/image/1990438087536058661.png
Givenchy/纪梵希,G Tote,,淡蓝色 牛皮 G托特 13.5 BB50R9B1PE-452,字母|牛皮,217674,https://sr.aihuishou.com/image/4970456534560125174.png
Givenchy/纪梵希,G Tote,,黑色 拉菲草 G托特 44 BB50ZVB1SQ-001,编织|拉菲草,217675,https://sr.aihuishou.com/image/5458207184327236059.png
Bottega Veneta/葆蝶家,Padded Cassette,,绿色 羊皮 腰包 20 710075VCQR13724,羊皮,213226,https://sr.aihuishou.com/image/8731967521398932060.png
Bottega Veneta/葆蝶家,Padded Cassette,,深巧克力色 皮革 单肩包 25 591970VCQR12132,纯色|皮革,212901,https://sr.aihuishou.com/image/5546172253227880050.png
Bottega Veneta/葆蝶家,Padded Cassette,,蓝色 羊皮 斜挎包 26 591970VCQR13118,羊皮,212903,https://sr.aihuishou.com/image/2779110675209435623.png
Bottega Veneta/葆蝶家,Padded Cassette,,灰色 牛皮 斜挎包 22 667298VCQ711242,编织|牛皮,212964,https://sr.aihuishou.com/image/1624046947134859826.png
Bottega Veneta/葆蝶家,Padded Cassette,,蓝色 牛仔布 斜挎包 23 744020V2ZJ14023,编织|牛仔布,212967,https://sr.aihuishou.com/image/2964437464861018512.png
Bottega Veneta/葆蝶家,Padded Cassette,,浅黑色 羊皮 斜挎包 15 578004VMAY12127,编织|羊皮,212970,https://sr.aihuishou.com/image/2309346832307480782.png
Bottega Veneta/葆蝶家,Padded Cassette,,黄色 牛皮 斜挎包 23 667298VCQ712671,编织|牛皮,212973,https://sr.aihuishou.com/image/3397487802267795534.png
Bottega Veneta/葆蝶家,Padded Cassette,,柠檬奇异果绿 牛皮 斜挎包 15 667298VCQ717301,车缝线|牛皮,212975,https://sr.aihuishou.com/image/2629267989694565389.png
Bottega Veneta/葆蝶家,Padded Cassette,,绿色 皮革 腰包 18 710141V1Q713819,编织|皮革,213035,https://sr.aihuishou.com/image/839655218508518341.png
Bottega Veneta/葆蝶家,Padded Cassette,,番茄红色 牛皮 斜挎包 12 629068-VCQ71-6541,编织|牛皮,213039,https://sr.aihuishou.com/image/6519050523294990694.png
Bottega Veneta/葆蝶家,Padded Cassette,,泳池蓝 牛皮 腰包 9.5 651053VCQ724617,编织|牛皮,213044,https://sr.aihuishou.com/image/374345470398945350.png
Bottega Veneta/葆蝶家,Padded Cassette,,驼色 牛皮 手拿包 22.5 730543VCQC42593,编织|牛皮,213051,https://sr.aihuishou.com/image/3376246532954314045.png
Bottega Veneta/葆蝶家,Padded Cassette,,水洗甜瓜色拼粉色 羊皮 斜挎包 26 591970VCQR16705,羊皮,213149,https://sr.aihuishou.com/image/5140526858145146137.png
Bottega Veneta/葆蝶家,Padded Cassette,,紫色 羊皮 单肩包 26 591970VCQR15308,羊皮,213150,https://sr.aihuishou.com/image/5310646916146868962.png
